Title,Sentence
Egypt's drone deployment to border raises stakes in Sudan's civil war,"The RSF says its territory has been attacked repeatedly with Akincis, claiming its fighters shot down at least seven since June."
Egypt's drone deployment to border raises stakes in Sudan's civil war,"Two videos posted on social media in mid-January showed what RSF fighters said was an Akinci shot down near Nyala, the group’s main stronghold in Darfur."
Egypt's drone deployment to border raises stakes in Sudan's civil war,"The two military experts told Reuters the wreckage was consistent with a crashed Akinci, but the news agency could not determine when and where the videos were shot, or who was operating the drone."
Egypt's drone deployment to border raises stakes in Sudan's civil war,"In February 2024, Turkish Foreign Minister Hakan Fidan said Ankara would sell drones to Egypt as the two countries normalised ties following a decade-long rupture, but he did not specify what kind."
Egypt's drone deployment to border raises stakes in Sudan's civil war,A Turkish Defence Ministry source said the countries reached an agreement on the sale of Akincis the same year.
Egypt's drone deployment to border raises stakes in Sudan's civil war,The source did not provide further details.
Egypt's drone deployment to border raises stakes in Sudan's civil war,"A Western diplomat, who meets regularly with Turkish officials, said they had privately defended Egyptian airstrikes on the RSF as legitimate and had confirmed drones were recently delivered for use in the war effort but did not give further details."
Egypt's drone deployment to border raises stakes in Sudan's civil war,Five of the six flights into East Oweinat that appear in flight tracking data from FlightRadar24 since September came from Turkey.
Egypt's drone deployment to border raises stakes in Sudan's civil war,"Of these, three were Turkish Air Force-operated cargo planes from Tekirdag, the Turkish city where Akincis are tested, the data shows."
Egypt's drone deployment to border raises stakes in Sudan's civil war,"Reuters could not determine what was on the flights, which took place on December 25, December 26 and January 7."
Egypt's drone deployment to border raises stakes in Sudan's civil war,"The Turkish Defence Industries Presidency (SSB), which handles such agreements, the Akincis’ manufacturer, Baykar, and Egypt’s government did not respond to questions about the sale."
Egypt's drone deployment to border raises stakes in Sudan's civil war,"EGYPT’S SHIFTING STANCE  Justin Lynch, managing director of the Conflict Insights Group consultancy, which closely tracks the war in Sudan, said the drone deployment at East Oweinat was “an indication of Egypt’s recent policy to be more involved in Sudan”."
Egypt's drone deployment to border raises stakes in Sudan's civil war,"The airport is less than 400 kilometres from Sudan’s border triangle, a strategically sensitive region on Egypt’s doorstep through which the RSF can receive supplies from southeastern Libya destined for Darfur."
Egypt's drone deployment to border raises stakes in Sudan's civil war,"Supplies sent through that corridor proved instrumental to the fall of al-Fashir, during which the RSF was accused of widespread atrocities, including gunning down hundreds of civilians and holding residents hostage for ransoms."
Egypt's drone deployment to border raises stakes in Sudan's civil war,"The city’s fall was a turning point in Egypt’s previously “ambiguous” stance toward the conflict, said Jalel Harchaoui, a contributor to Britain’s Royal United Services Institute think tank."
Egypt's drone deployment to border raises stakes in Sudan's civil war,“The Egyptian military harbors no affinity whatsoever for the Rapid Support Forces.
Egypt's drone deployment to border raises stakes in Sudan's civil war,"Yet Egypt depends on the United Arab Emirates, a major backer of the RSF, for financial assistance,” he said."
Egypt's drone deployment to border raises stakes in Sudan's civil war,"“When al-Fashir finally fell … Cairo’s equilibrium shifted toward taking tougher measures against the RSF.”  Egypt may also have been emboldened by Saudi Arabia’s moves to curb the UAE's influence in Yemen, according to the analysts and diplomats who spoke with Reuters, a rivalry that has since spilled over into the Horn of Africa."
Egypt's drone deployment to border raises stakes in Sudan's civil war,"An Emirati official said the UAE was working with regional partners – including Egypt and Saudi Arabia – to secure a ceasefire in Sudan and that its “decisions have consistently favoured restraint over escalation""."
Egypt's drone deployment to border raises stakes in Sudan's civil war,Saudi Arabia did not immediately respond to a request for comment.
Egypt's drone deployment to border raises stakes in Sudan's civil war,"Alexander Dziadosz reported from Cairo, Marine Delrue from Barcelona and Maria Paula Laguna from Mexico City; Additional reporting by Nafisa Eltahir, Mohamed Ezz, Tuvan Gumrukcu, Giulia Paravicini, Andrew Mills, Timour Azhari and Milan Pavicic; Writing by Alexander Dziadosz; Editing by Alexandra Zavis"
Poland and Germany pledge to take lead on Europe's economic revival,"WARSAW, Feb 2 (Reuters) - Germany and Poland must take joint responsibility for an economic revival in Europe, the finance ministers of both countries said in Warsaw on Monday, as the continent's growth remains sluggish compared to rivals such as the U.S. and China."
Poland and Germany pledge to take lead on Europe's economic revival,"A relatively weak economy has compounded Europe's challenges on multiple other fronts, with perceived security threats from Russia, trade and geopolitical disputes with the Trump administration and uncertainty over relations with Beijing."
Poland and Germany pledge to take lead on Europe's economic revival,Get a daily digest of breaking business news straight to your inbox with the Reuters Business newsletter.
Poland and Germany pledge to take lead on Europe's economic revival,"""We need to make Europe more competitive,"" Polish Finance Minister Andrzej Domanski said during a joint press conference with German Vice Chancellor and Finance Minister Lars Klingbeil."
Poland and Germany pledge to take lead on Europe's economic revival,"""Both Poland and Germany are ready to create this impetus and to develop economic policies that will return Europe to an economic, rather than regulatory, power,"" he said."
Poland and Germany pledge to take lead on Europe's economic revival,Klingbeil spoke about the transatlantic relationship and the marked changes it is undergoing.
Poland and Germany pledge to take lead on Europe's economic revival,"""And we agree: precisely in this phase we must strengthen Europe and move Europe forward,"" he said, in his first visit to Poland since he took office."
Poland and Germany pledge to take lead on Europe's economic revival,"SIX EU ECONOMIES WANT FASTER DECISIONS  Klingbeil said the EU must become ""faster, smarter, and more capable of dealing with complexity."""
Poland and Germany pledge to take lead on Europe's economic revival,"Ministers from six leading European economies including Germany and Poland vowed on Wednesday to be the drivers of European progress, as they tackled how to advance projects stalled by the EU's complex decision-making process."
Poland and Germany pledge to take lead on Europe's economic revival,"""We have set ourselves the goal of deepening European cooperation, picking up speed, and also demanding this from the Commission,"" Klingbeil said about last week's video conference."
Poland and Germany pledge to take lead on Europe's economic revival,He said this was a first meeting and another will follow soon in Brussels.
Poland and Germany pledge to take lead on Europe's economic revival,"""It's less about adopting decisions now in a new format; it's about finding common positions so that we can then push our decisions forward in the Eurogroup,"" Klingbeil said, referring to the forum of euro zone finance ministers."
Poland and Germany pledge to take lead on Europe's economic revival,The idea of forging ad hoc coalitions allowing some EU countries to pursue projects without the need for agreement from all 27 member states has long tempted some and has already been applied to key projects including the euro currency.
Poland and Germany pledge to take lead on Europe's economic revival,"""We must unwind the regulatory corset, simplify the law, reform our markets, and fully harness the power of the common European market and its nearly 500 million consumers,"" said Domanski."
Poland and Germany pledge to take lead on Europe's economic revival,The Polish minister said Europe is in a race.
Poland and Germany pledge to take lead on Europe's economic revival,"""A race for competitiveness, for building true economic strength, and to achieve this, we need to accelerate,"" Domanski said."
Poland and Germany pledge to take lead on Europe's economic revival,"Reporting by Anna Wlodarczak-Semczuk and Christian Kraemer, writing by Pawel Florkiewicz and Maria Martinez; Editing by Linda Pasquini and Toby Chopra"
Morning Bid: Metals meltdown,"LONDON, Feb 2 (Reuters) - By Marc Jones, Global Markets Correspondent  What matters in U.S. and global markets today  The Week in Breakingviews newsletter offers insights and ideas from Reuters' global financial commentary team."
Morning Bid: Metals meltdown,"The slump in gold, silver and other precious metals is continuing to rattle global markets and making for a nervous start to the month."
Morning Bid: Metals meltdown,"After Kevin Warsh's nomination as the new Fed Chair on Friday, a potent mix of margin calls, momentum selling and - at ​least for now - a dialing down of U.S.-Iran sabre-rattling appears to be fueling ongoing volatility in the one part of the market most prized for its safety."
Morning Bid: Metals meltdown,"There is a ‌lot of red on the screens out there again and that is ahead of a week packed with corporate earnings, central bank meetings and major economic data, starting with ISM numbers out later."
Morning Bid: Metals meltdown,"But first, check out Mike Dolan's latest column below on why the Warsh-Trump pairing may not be a match made in heaven."
Morning Bid: Metals meltdown,And listen to the latest episode of the Morning Bid daily podcast.
Morning Bid: Metals meltdown,Subscribe to hear Reuters journalists discuss the biggest news in markets and finance seven days a week.
Morning Bid: Metals meltdown,"METALS MELTDOWN  Having zoomed up on the escalator, the worry is now that gold and silver markets are hurtling down in the lift as investors unwind their trades."
Morning Bid: Metals meltdown,Silver is currently ‌down another 5.5% and after Friday's 30% plunge is headed for its biggest two-day loss since at least the 1980s.
Morning Bid: Metals meltdown,Gold has dropped another 3.4% too ​after its 9% Friday meltdown marked its biggest single-day decline since 2013.
Morning Bid: Metals meltdown,Dealers say pressure on a number of silver futures funds in China added to the rout late last week and the mood hasn't been helped today by news that CME had raised margin calls on some of its key gold and silver futures contracts.
Morning Bid: Metals meltdown,"Adding to the commodity crunch, oil prices are also down nearly 5% after Trump said over the weekend ‍that Iran was ""seriously talking"" with Washington, perhaps lessening the risk of a U.S. military strike on the country, at least in the coming days."
Morning Bid: Metals meltdown,It has all started to knock the equity markets.
Morning Bid: Metals meltdown,"Wall Street's Nasdaq futures are off nearly 1% while the so-called VIX ""fear gauge"" is rising toward the 20 level again."
Morning Bid: Metals meltdown,"About one quarter of the S&P 500 is set to report this week, and growth in earnings per share was running at 11% on the previous year, when consensus had been for ⁠7%."
Morning Bid: Metals meltdown,"Scrutiny will be razor sharp on tech majors Alphabet, Amazon and AMD, particularly on their costs and how they see the benefits of AI in the wake of Microsoft's poorly received results last week."
Morning Bid: Metals meltdown,European ‍stocks are showing some signs of stabilisation - around 30% of the STOXX 600's constituents report earnings this week.
Morning Bid: Metals meltdown,"But Asia saw the ""bubbly"" South Korean stock market tumble 5.5% as its big name chipmakers got whacked by the persistent AI ‌jitters and Hong ‌Kong's Hang Seng also fell over 2% after data over the weekend revealed China's official PMI fell back below 50 again."
Morning Bid: Metals meltdown,Japan's Nikkei also dropped more than 1% despite a brief push into the green on an opinion poll suggesting Prime Minister Sanae Takaichi's Liberal Democratic Party was likely to score a landslide victory in next week's lower house election.
Morning Bid: Metals meltdown,The coming week also has a deluge of U.S. macro data.
Morning Bid: Metals meltdown,"Monday kicks things off with the January ISM manufacturing index although the main event will be Friday's non-farm payrolls report, with consumer sentiment figures and the latest Treasury’s quarterly refunding details keeping the interest up in between."
Morning Bid: Metals meltdown,"Also on the menu ⁠are policy meetings by the Reserve Bank of Australia, ⁠European Central Bank and Bank of England."
Morning Bid: Metals meltdown,"The RBA ​is an outlier in that markets imply around a 75% chance it will raise interest rates by a quarter point to 3.85%, so reversing one of three cuts delivered last year, in an attempt to quell resurgent inflation."
Morning Bid: Metals meltdown,"Chart of the day  It's worth acknowledging that despite the severity of the gold and silver routs, they remain comfortably higher than the already lofty positions at which they started the year."
Morning Bid: Metals meltdown,They raced higher when Washington captured Venezuelan President Nicolas Maduro and ‍then a major row blew up with Europe about Trump's proposed grab for Greenland.
Morning Bid: Metals meltdown,"While that rally has hit the buffers for now, it could just be a timely correction."
Morning Bid: Metals meltdown,"Deutsche Bank on Monday said it still saw the case for a gold price of $6,000 an ounce given the uncertain global outlook and European defence stocks are also still firmly in vogue."
Morning Bid: Metals meltdown,"On the flip side, the dollar has risen for the last couple of days as Warsh's nomination for the Fed job has eased some ​of the more extreme worries about the U.S. central bank's cherished independence."
Morning Bid: Metals meltdown,And its strength - or lack of it - remains crucial ‍for all kinds of markets.
Morning Bid: Metals meltdown,Today's events to watch  Opinions expressed are those of the author.
Morning Bid: Metals meltdown,"They do not reflect the views of Reuters News, which, ​under the Trust Principles, opens new tab, is committed to integrity, independence, and freedom from bias."
Morning Bid: Metals meltdown,Want to receive the Morning Bid in your inbox every weekday morning?
Morning Bid: Metals meltdown,"By Marc Jones; Editing by Sharon Singleton  Our Standards: The Thomson Reuters Trust Principles., opens new tab  Opinions expressed are those of the author."
Morning Bid: Metals meltdown,"They do not reflect the views of Reuters News, which, under the Trust Principles, is committed to integrity, independence, and freedom from bias."
Morning Bid: Metals meltdown,"Marc Jones is a senior global markets correspondent based in London with a focus on economics, central banks, policymakers, and crises."
Morning Bid: Metals meltdown,"Previously he worked in Frankfurt covering the European Central Bank at the height of the euro zone turmoil, the UK companies desk during the initial phase of global financial crash."
Morning Bid: Metals meltdown,He started his Reuters career on the sports desk covering everything from soccer to cycling.
Syrian state forces deploy in Kurdish-run city under ceasefire deal,"Summary  Syrian government forces enter SDF-held city of Hasakah  Deployment stipulated in US-backed agreement  HASAKAH, Syria, Feb 2 (Reuters) - Syrian government security forces deployed in a Kurdish-controlled city in the northeast on Monday, a first step towards implementing a U.S.-backed ceasefire deal that foresees the Kurdish-run regions being merged with Damascus."
Syrian state forces deploy in Kurdish-run city under ceasefire deal,"The deal, declared on Friday, staved off the prospect of further confrontation between President Ahmed al-Sharaa's government and the Kurdish-led Syrian Democratic Forces, which lost swathes of eastern and northern Syria to government troops in January."
Syrian state forces deploy in Kurdish-run city under ceasefire deal,"The Reuters Gulf Currents newsletter brings you the latest on geopolitics, energy and finance in the region."
Syrian state forces deploy in Kurdish-run city under ceasefire deal,Reuters journalists saw a convoy of more than 30 interior ministry vehicles begin moving towards the ethnically-mixed city of Hasakah from its outskirts in the early afternoon.
Syrian state forces deploy in Kurdish-run city under ceasefire deal,Sources in the city said they entered shortly afterwards.
Syrian state forces deploy in Kurdish-run city under ceasefire deal,Members of the Kurdish Asayish security force observed as the convoy entered the city.
Syrian state forces deploy in Kurdish-run city under ceasefire deal,"Government forces are expected to be stationed in Syrian state buildings in Hasakah's so-called ""security zone"", a Syrian official and a Kurdish security source told Reuters ahead of the deployment."
Syrian state forces deploy in Kurdish-run city under ceasefire deal,The accord declared on Friday foresees a phased integration of Kurdish fighters with government forces.
Syrian state forces deploy in Kurdish-run city under ceasefire deal,The United States has hailed the agreement as a historic milestone towards unity and reconciliation after 14 years of civil war.
Syrian state forces deploy in Kurdish-run city under ceasefire deal,"The SDF was once Washington's main Syrian ally, playing a vital part in the fight against Islamic State militants."
Syrian state forces deploy in Kurdish-run city under ceasefire deal,"But its status weakened as President Donald Trump built ties with Sharaa, a former al Qaeda commander who has now brought almost all of Syria back under the authority of Damascus."
Syrian state forces deploy in Kurdish-run city under ceasefire deal,"The deal announced on Friday includes the formation of a military division that will include three SDF brigades, in addition to a brigade for forces in the SDF-held town of Kobani, also known as Ain al-Arab, which will be affiliated to the state-controlled governorate of Aleppo."
Syrian state forces deploy in Kurdish-run city under ceasefire deal,"A convoy of 20 aid trucks entered Ain al-Arab, state-run Ekhbariya TV reported."
Syrian state forces deploy in Kurdish-run city under ceasefire deal,The deal also provides for governing bodies in SDF-held areas to be merged with state institutions.
Syrian state forces deploy in Kurdish-run city under ceasefire deal,The Syrian state news agency SANA reported that interior ministry forces had begun deploying in rural areas near Ain al-Arab on Monday.
Syrian state forces deploy in Kurdish-run city under ceasefire deal,"Since rebels toppled President Bashar al-Assad 14 months ago, Sharaa's efforts to bring the fractured nation under central rule have been complicated by deadly violence last year against Alawites and Druze, fuelling suspicion of his rule among minority communities despite his promises to protect them."
Syrian state forces deploy in Kurdish-run city under ceasefire deal,"ANALYST SEES GAPS OVER INTEGRATION  SDF commander Mazloum Abdi, in comments to Kurdish broadcaster Ronahi published on Saturday, said there was an agreement on a limited number of government security forces entering the security zones of both Hasakah and Qamishli, another SDF-held city on the Turkish border."
Syrian state forces deploy in Kurdish-run city under ceasefire deal,"Their mission would be only administrative, to follow up on the process of the integration of the Asayish, he said."
Syrian state forces deploy in Kurdish-run city under ceasefire deal,"Abdi said government forces would not enter Kurdish villages and cities, adding that their administration would remain in the hands of their residents and local forces."
Syrian state forces deploy in Kurdish-run city under ceasefire deal,"Nawar Rahawi, director of the government-affiliated Hasakah media centre, told Reuters that some 125 to 150 members of the security forces had entered Hasakah on Monday, and another 15 to 20 vehicles would enter on Tuesday if the entry goes smoothly."
Syrian state forces deploy in Kurdish-run city under ceasefire deal,"""If things go smoothly, as all Syrians hope, the process of integrating the Syrian Democratic Forces with the Syrian government forces will begin,"" he said."
Syrian state forces deploy in Kurdish-run city under ceasefire deal,"But Noah Bonsey, a senior adviser with the International Crisis Group think-tank, said statements from both sides since Friday indicated gaps over how the integration of the SDF and Kurdish-run governing bodies in the northeast will pan out."
Syrian state forces deploy in Kurdish-run city under ceasefire deal,"""What the practical details of integration look like will determine what continuing role SDF elements play on the ground, how much autonomy they retain, and how significant and extensive government command and control is,"" he said."
Syrian state forces deploy in Kurdish-run city under ceasefire deal,"Additional reporting by Feras Delatey and Tom Perry in Beirut; Suleiman al-Khalidi in Amman; Orhan Qereman in Qamishli, Syria; Writing by Tom Perry; editing by Aidan Lewis and Mark Heinrich"
S&amp;P 500 flirts with record high; chipmakers and small caps jump,"Summary  Companies  Disney drops despite beating earnings estimate  Energy index falls on lower oil prices  Chipmakers rally on AI optimism  S&P 500 +0.54%, Nasdaq +0.56%, Dow +1.05%  Feb 2 (Reuters) - The S&P 500 (.SPX), opens new tab closed higher on Monday, lifted by gains in chipmakers and other companies related to artificial intelligence, while smaller companies also rose sharply."
S&amp;P 500 flirts with record high; chipmakers and small caps jump,"The Russell 2000 index (.RUT), opens new tab jumped about 1%, with the small-cap index significantly outperforming the S&P 500 and Nasdaq (.IXIC), opens new tab so far in 2026."
S&amp;P 500 flirts with record high; chipmakers and small caps jump,Get a daily digest of breaking business news straight to your inbox with the Reuters Business newsletter.
S&amp;P 500 flirts with record high; chipmakers and small caps jump,"Alphabet (GOOGL.O), opens new tab rose 1.9% to a record high and Amazon (AMZN.O), opens new tab added 1.5%."
S&amp;P 500 flirts with record high; chipmakers and small caps jump,"Both companies are set to report quarterly results this week, giving investors an additional glimpse of the race to dominate AI technology."
S&amp;P 500 flirts with record high; chipmakers and small caps jump,"AI-related data firm Palantir (PLTR.O), opens new tab climbed 0.8% ahead of its quarterly report after the bell."
S&amp;P 500 flirts with record high; chipmakers and small caps jump,Chipmakers benefiting from AI-related demand for their components also rallied.
S&amp;P 500 flirts with record high; chipmakers and small caps jump,"SanDisk (SNDK.O), opens new tab surged 15.4%, while Advanced Micro Devices (AMD.O), opens new tab rose 4% and Micron Technology (MU.O), opens new tab added 5.5%."
S&amp;P 500 flirts with record high; chipmakers and small caps jump,It was the S&P 500's first gain in three sessions following recent worries about pricey valuations of technology companies whose shares have soared in recent years on optimism about AI.
S&amp;P 500 flirts with record high; chipmakers and small caps jump,"The S&P 500 is up about 2% in 2026, lagging the Russell 2000's more than 6% rally."
S&amp;P 500 flirts with record high; chipmakers and small caps jump,Investors often view gains in small-cap stocks as a reflection of confidence in the economy.
S&amp;P 500 flirts with record high; chipmakers and small caps jump,"""The fundamentals are good and earnings are strong."
S&amp;P 500 flirts with record high; chipmakers and small caps jump,"We have positive surprises both for revenues and earnings, pretty much across the board,"" said Tim Ghriskey, senior portfolio strategist at Ingalls & Snyder in New York."
S&amp;P 500 flirts with record high; chipmakers and small caps jump,"Analysts expect S&P 500 companies to have grown their earnings nearly 11% in the December quarter, up from an estimate of about 9% at the start of January, according to LSEG."
S&amp;P 500 flirts with record high; chipmakers and small caps jump,Technology-related companies are driving most of that growth.
S&amp;P 500 flirts with record high; chipmakers and small caps jump,"Walt Disney (DIS.N), opens new tab tumbled 7.4%, despite posting quarterly earnings above Wall Street expectations, as it warned of a decline in international visitors to its U.S. theme parks and a slump in earnings at its TV and film division."
S&amp;P 500 flirts with record high; chipmakers and small caps jump,"The S&P 500 climbed 0.54% to end the session at 6,976.44 points, just short of its record high close of 6,978.60 last Tuesday."
S&amp;P 500 flirts with record high; chipmakers and small caps jump,"The Nasdaq gained 0.56% to 23,592.11 points, while the Dow Jones Industrial Average rose 1.05% to 49,407.66 points."
S&amp;P 500 flirts with record high; chipmakers and small caps jump,"Volume on U.S. exchanges was heavy, with 20.1 billion shares traded, compared to an average of 19.4 billion shares over the previous 20 sessions."
S&amp;P 500 flirts with record high; chipmakers and small caps jump,"U.S. factory activity grew for the first time in a year in January, PMI data showed."
S&amp;P 500 flirts with record high; chipmakers and small caps jump,"The CBOE VIX (.VIX), opens new tab, a volatility index also known as Wall Street's ""fear gauge,"" dropped 1 point to 16.5."
S&amp;P 500 flirts with record high; chipmakers and small caps jump,"During the session, it touched a near two-week high."
S&amp;P 500 flirts with record high; chipmakers and small caps jump,"The S&P 500 energy sector index (.SPNY), opens new tab dropped 2% as oil prices slid."
S&amp;P 500 flirts with record high; chipmakers and small caps jump,"U.S. President Donald Trump said Iran was ""seriously talking"" with Washington, comments that hinted at de-escalation and eased fears of supply disruptions."
S&amp;P 500 flirts with record high; chipmakers and small caps jump,Lower energy prices boosted airline shares.
S&amp;P 500 flirts with record high; chipmakers and small caps jump,"United Airlines (UAL.O), opens new tab, JetBlue (JBLU.O), opens new tab, Delta Air Lines (DAL.N), opens new tab and Southwest (LUV.N), opens new tab all rallied between 4% and 8%."
S&amp;P 500 flirts with record high; chipmakers and small caps jump,"The House of Representatives took up legislation to lift a partial government shutdown that began on Saturday, with a final vote expected on Tuesday."
S&amp;P 500 flirts with record high; chipmakers and small caps jump,The Bureau of Labor Statistics said the closely watched employment report for January would not be released on Friday due to the partial shutdown.
S&amp;P 500 flirts with record high; chipmakers and small caps jump,"Advancing issues outnumbered falling ones within the S&P 500 (.AD.SPX), opens new tab by a 1.4-to-one ratio."
S&amp;P 500 flirts with record high; chipmakers and small caps jump,The S&P 500 posted 30 new highs and 9 new lows; the Nasdaq recorded 160 new highs and 217 new lows.
S&amp;P 500 flirts with record high; chipmakers and small caps jump,"Reporting by Pranav Kashyap and Twesha Dikshit in Bengaluru, and by Noel Randewich in San Francisco; Editing by Shinjini Ganguli, Shilpi Majumdar and David Gregorio  Our Standards: The Thomson Reuters Trust Principles., opens new tab  San Francisco correspondent covering the stock market with a focus on Big Tech, semiconductors and other Silicon Valley companies"
Obesity market sales potential tightens as Novo and Lilly enter new era,"Summary  Companies  Analysts revise obesity drug market forecasts due to price erosion  Some analysts remain optimistic about $150 billion market potential  Price cuts may boost volumes despite market uncertainty, some analysts say  LONDON, Feb 2 (Reuters) - The long-held Wall Street expectation that the global market for obesity drugs would reach $150 billion in the next decade is looking a lot less certain with U.S. prices falling for GLP-1 treatments from Novo Nordisk (NOVOb.CO), opens new tab and Eli Lilly (LLY.N), opens new tab and competition heating up in the cash-pay consumer market."
Obesity market sales potential tightens as Novo and Lilly enter new era,"The fast-changing landscape, which includes the expected entry of new drugs and generic competition, has led to a recalculation of what the peak will be and when those heights may be reached, analysts and investors say."
Obesity market sales potential tightens as Novo and Lilly enter new era,Keep up with the latest medical breakthroughs and healthcare trends with the Reuters Health Rounds newsletter.
Obesity market sales potential tightens as Novo and Lilly enter new era,"“The peak has come down a little bit,"" said Terence McManus, portfolio manager at Switzerland's Bellevue Asset Management and a Lilly shareholder, pointing to pricing in the new consumer market and the launch of generic versions of Novo's Ozempic."
Obesity market sales potential tightens as Novo and Lilly enter new era,"""Maybe a few years ago people didn't appreciate that that would happen so quickly,"" he said."
Obesity market sales potential tightens as Novo and Lilly enter new era,Unprecedented demand for the potent new weight-loss drugs targeting the GLP-1 hormone led analysts to project a market of $150 billion - or even $200 billion - by the early 2030s.
Obesity market sales potential tightens as Novo and Lilly enter new era,But 2030 forecasts are around 30% lower at about $100 billion or so and that $150 billion target has shifted to 2035 for some.
Obesity market sales potential tightens as Novo and Lilly enter new era,Jefferies revised down by 20% its forecast in January for the weight-loss market to peak at $80 billion from its estimate in 2023 of over $100 billion by the early 2030s.
Obesity market sales potential tightens as Novo and Lilly enter new era,"""That $150 billion pie is gone, even if you're very bullish on volumes,"" said Jefferies analyst Michael Leuchten."
Obesity market sales potential tightens as Novo and Lilly enter new era,"Novo and Lilly, which both report fourth-quarter financial results on Wednesday, are the dominant players in the market, with Lilly reaching a $1 trillion valuation last year and Novo's new Wegovy weight-loss pill getting off to a strong start."
Obesity market sales potential tightens as Novo and Lilly enter new era,Some analysts said Novo will forecast a decline in sales and operating profit for 2026 when it issues its financial outlook on Wednesday.
Obesity market sales potential tightens as Novo and Lilly enter new era,"Analysts expect Lilly to generate over 21% more revenue and adjusted earnings to grow over 40% in 2026 compared to 2025 estimates, according to LSEG data."
Obesity market sales potential tightens as Novo and Lilly enter new era,Lilly did not immediately respond to requests for comment.
Obesity market sales potential tightens as Novo and Lilly enter new era,MOST BULLISH FORECASTS 'STAND ON THIN ICE'  Goldman Sachs analysts also pared back expectations.
Obesity market sales potential tightens as Novo and Lilly enter new era,"Their current estimate for global obesity drug sales by 2030 is $105 billion, down from earlier forecasts of $130 billion, based on steeper price erosion and changing customer-use patterns."
Obesity market sales potential tightens as Novo and Lilly enter new era,"After the launches of Wegovy in 2021 and Lilly's rival Zepbound in 2023, the drugs retailed for about $1,000 per month in pharmacies."
Obesity market sales potential tightens as Novo and Lilly enter new era,"Faced with political pressure to lower costs in the U.S., they are now sold on company websites for starting prices of $149 to $299, in part reflecting a deal with the Trump administration."
Obesity market sales potential tightens as Novo and Lilly enter new era,"""Prices have come down quite sharply, so you certainly need volumes to pick up a lot,"" said HSBC analyst Rajesh Kumar, who has yet to change his long-term market forecasts, saying 2026 will be a key year to gauge consumer demand."
Obesity market sales potential tightens as Novo and Lilly enter new era,"Wegovy injection and pill and Zepbound injection prescriptions totalled 730,000 in the week ended January 23, according to IQVIA data cited in an analyst note."
Obesity market sales potential tightens as Novo and Lilly enter new era,"New Wegovy prescriptions grew 4%, largely due to the new pill, while Zepbound was up 0.9%."
Obesity market sales potential tightens as Novo and Lilly enter new era,"Without a significant step-up in volumes, the most bullish projections for the sector ""stand on thin ice"", Kumar said."
Obesity market sales potential tightens as Novo and Lilly enter new era,He estimates the market at more than $120 billion by end of 2030.
Obesity market sales potential tightens as Novo and Lilly enter new era,"The entry of more convenient weight-loss pills could extend how long patients stay on therapy, potentially boosting sales, Kumar said."
Obesity market sales potential tightens as Novo and Lilly enter new era,Lilly expects approval for its own pill in April.
Obesity market sales potential tightens as Novo and Lilly enter new era,Market researchers have also moderated their assumptions.
Obesity market sales potential tightens as Novo and Lilly enter new era,"IQVIA (IQV.N), opens new tab recently pushed out its forecast for a global obesity market of around $130 billion to 2034 from 2028."
Obesity market sales potential tightens as Novo and Lilly enter new era,"SOME STAND BY LOFTY FORECAST  Others remain more bullish, including Pfizer (PFE.N), opens new tab CEO Albert Bourla, who said in January he expects the obesity drug market to reach $150 billion a year by 2030."
Obesity market sales potential tightens as Novo and Lilly enter new era,Pfizer recently sealed a $10 billion deal for obesity drug biotech Metsera.
Obesity market sales potential tightens as Novo and Lilly enter new era,"BMO Capital Markets, which in 2023 raised its forecast for annual GLP-1 sales to $158 billion by 2033, including $100 billion from obesity drugs, is betting falling prices will boost volumes."
Obesity market sales potential tightens as Novo and Lilly enter new era,BMO analyst Evan Seigerman said the companies can absorb the impact of generic competition on prices.
Obesity market sales potential tightens as Novo and Lilly enter new era,TD Cowen analyst Michael Nedelcovych said his firm's $139 billion global forecast for the diabetes and obesity drugs could rise if direct-to-consumer volumes offset price erosion.
Obesity market sales potential tightens as Novo and Lilly enter new era,"Morningstar analyst Karen Andersen said obesity sales would likely top $100 billion, but pricing pressure had brought forward a hit to revenue most assumed would come in 2027, not 2026."
Obesity market sales potential tightens as Novo and Lilly enter new era,"""We've already got pretty steep discounts built into our model,"" she said."
Obesity market sales potential tightens as Novo and Lilly enter new era,"Markus Manns, a portfolio manager at Union Investment that holds Novo and Lilly shares, said much is still uncertain with many potential competitors at early stages of development and potent oral drugs just starting to come on the market."
Obesity market sales potential tightens as Novo and Lilly enter new era,"""In a few weeks we will at least have a better idea about the potential of orals,"" he said, ""and whether they are expanding the market or just taking market share from injectables."""
Obesity market sales potential tightens as Novo and Lilly enter new era,"Reporting by Maggie Fick and Bhanvi Satija in London and Mariam Sunny in Bengaluru' Additional reporting by Deena Beasley in Los Angeles; Editing by Adam Jourdan, Caroline Humer and Bill Berkrot  Our Standards: The Thomson Reuters Trust Principles., opens new tab  Maggie is a Britain-based reporter covering the European pharmaceuticals industry with a global perspective."
Obesity market sales potential tightens as Novo and Lilly enter new era,"In 2023, Maggie's coverage of Danish drugmaker Novo Nordisk and its race to increase production of its new weight-loss drug helped the Health & Pharma team win a Reuters Journalists of the Year award in the Beat Coverage of the Year category."
Obesity market sales potential tightens as Novo and Lilly enter new era,"Since November 2023, she has also been participating in Reuters coverage related to the Israel-Hamas war."
