Title,Sentence,clean_sentence
"Asian stocks up, gold bouncing back in calmer trade","Aside from Iran worries oil gained support from a U.S.-India trade agreement, which boosted hopes for global energy demand.",Aside Iran worry oil gained support U.S.-India trade agreement boosted hope global energy demand
"Asian stocks up, gold bouncing back in calmer trade",And Russia's continued attacks on Ukraine fueled worries that Moscow's oil would remain sanctioned.,And Russia continued attack Ukraine fueled worry Moscow oil would remain sanctioned
"Asian stocks up, gold bouncing back in calmer trade","U.S. crude settled up 1.72%, or $1.07, at $63.21 a barrel while Brent settled at $67.33 per barrel, up 1.55%, or $1.03 on the day.",U.S. crude settled 1.72 1.07 63.21 barrel Brent settled 67.33 per barrel 1.55 1.03 day
"Asian stocks up, gold bouncing back in calmer trade",Commodities and the dollar have been whipsawed since U.S. President Donald Trump's nomination of Kevin Warsh to lead the Federal Reserve last Friday.,Commodities dollar whipsawed since U.S. President Donald Trump nomination Kevin Warsh lead Federal Reserve last Friday
"Asian stocks up, gold bouncing back in calmer trade","While Warsh may be under pressure from Trump to cut interest rates, investors expect that he will look to shrink the Fed's balance sheet, which is seen as a negative for precious metals.",While Warsh may pressure Trump cut interest rate investor expect look shrink Fed balance sheet seen negative precious metal
"Asian stocks up, gold bouncing back in calmer trade","But on Tuesday, spot gold rose 6.14% to $4,951.72 an ounce, after falling about 13% in the prior two sessions.","But Tuesday spot gold rose 6.14 4,951.72 ounce falling prior two session"
"Asian stocks up, gold bouncing back in calmer trade",Spot silver rose 7.58% to $85.42 an ounce on Tuesday after tumbling 6% Monday and 27% on Friday.,Spot silver rose 7.58 85.42 ounce Tuesday tumbling Monday Friday
"Asian stocks up, gold bouncing back in calmer trade","Jack Janasiewicz, lead portfolio strategist at Natixis Investment Managers said Tuesday showed ""a little bit of calmness returning back to the markets on the commodity side looking at gold and silver.""",Jack Janasiewicz lead portfolio strategist Natixis Investment Managers said Tuesday showed little bit calmness returning back market commodity side looking gold silver
"Asian stocks up, gold bouncing back in calmer trade","In currencies, the Australian dollar strengthened 1.08% versus the greenback to $0.7022 after the Reserve Bank of Australia raised rates by a quarter point to 3.85%, citing above-target inflation and a tight job market.",currency Australian dollar strengthened 1.08 versus greenback 0.7022 Reserve Bank Australia raised rate quarter point 3.85 citing above-target inflation tight job market
"Asian stocks up, gold bouncing back in calmer trade","The dollar index , which measures the greenback against a basket of currencies including the yen and the euro, took a step back after last week's rally against a range of currencies.",The dollar index measure greenback basket currency including yen euro took step back last week rally range currency
"Asian stocks up, gold bouncing back in calmer trade","The index fell 0.18% to 97.36, with the euro up 0.27% at $1.1821.",The index fell 0.18 97.36 euro 0.27 1.1821
"Asian stocks up, gold bouncing back in calmer trade","Against the Japanese yen , the dollar strengthened 0.09% to 155.74.",Against Japanese yen dollar strengthened 0.09 155.74
"Asian stocks up, gold bouncing back in calmer trade","In U.S. Treasuries, yields dipped after rising earlier as traders evaluated possible shifts in Federal Reserve policy under Warsh as they faced U.S. economic data delays due to a partial government shutdown.",U.S. Treasuries yield dipped rising earlier trader evaluated possible shift Federal Reserve policy Warsh faced U.S. economic data delay due partial government shutdown
"Asian stocks up, gold bouncing back in calmer trade","The yield on benchmark U.S. 10-year notes fell 0.8 basis points to 4.268%, from 4.277% late on Monday while the 30-year bond yield fell 1.1 basis points to 4.8983%.",The yield benchmark U.S. 10-year note fell 0.8 basis point 4.268 4.277 late Monday 30-year bond yield fell 1.1 basis point 4.8983
"Asian stocks up, gold bouncing back in calmer trade","The 2-year note yield, which typically moves in step with interest rate expectations for the Federal Reserve, rose 0.2 basis points to 3.572%, from 3.57% late on Monday.",The 2-year note yield typically move step interest rate expectation Federal Reserve rose 0.2 basis point 3.572 3.57 late Monday
"Trump spoke to some FBI agents who raided Atlanta election office, NYT reports","Feb 2 (Reuters) - U.S. President Donald Trump spoke to some FBI agents a day after they searched an election office in Georgia's Fulton County last week, the New York Times reported on Monday, citing three people with knowledge of the discussion.",Feb Reuters U.S. President Donald Trump spoke FBI agent day searched election office Georgia Fulton County last week New York Times reported Monday citing three people knowledge discussion
"Trump spoke to some FBI agents who raided Atlanta election office, NYT reports","The FBI raided the facility outside Atlanta, pursuing Trump's false claims that his 2020 election defeat was the result of widespread voting fraud.",The FBI raided facility outside Atlanta pursuing Trump false claim 2020 election defeat result widespread voting fraud
"Trump spoke to some FBI agents who raided Atlanta election office, NYT reports","Claims of voting fraud in the 2020 presidential election have been rejected by courts, state governments and members of Trump's own former administration.",Claims voting fraud 2020 presidential election rejected court state government member Trump former administration
"Trump spoke to some FBI agents who raided Atlanta election office, NYT reports",Director of National Intelligence Tulsi Gabbard met some of the FBI agents of the bureau's field office in Atlanta a day after the search.,Director National Intelligence Tulsi Gabbard met FBI agent bureau field office Atlanta day search
"Trump spoke to some FBI agents who raided Atlanta election office, NYT reports","During the meeting, she used her cellphone to call Trump, the newspaper reported.",During meeting used cellphone call Trump newspaper reported
"Trump spoke to some FBI agents who raided Atlanta election office, NYT reports","Trump addressed the agents on speakerphone, asked them questions, and praised and thanked them for their work on the inquiry, it added.",Trump addressed agent speakerphone asked question praised thanked work inquiry added
"Trump spoke to some FBI agents who raided Atlanta election office, NYT reports",Critics have denounced the Georgia investigation as politically motivated.,Critics denounced Georgia investigation politically motivated
"Trump spoke to some FBI agents who raided Atlanta election office, NYT reports",They say the Justice Department requires an unusual amount of independence because it is responsible for administering justice in a non-partisan fashion.,They say Justice Department requires unusual amount independence responsible administering justice non-partisan fashion
"Trump spoke to some FBI agents who raided Atlanta election office, NYT reports",The raid was the latest in a string of actions by Trump's administration to use the Justice Department against his perceived enemies or to intervene in cases where he believes he was treated unfairly.,The raid latest string action Trump administration use Justice Department perceived enemy intervene case belief treated unfairly
"Trump spoke to some FBI agents who raided Atlanta election office, NYT reports","""DNI Gabbard and FBI Director (Kash) Patel are working together to implement the president's election integrity priorities, and their work continues to serve him and the entire country well,"" White House spokesman Davis Ingle said in a statement.",DNI Gabbard FBI Director Kash Patel working together implement president election integrity priority work continues serve entire country well White House spokesman Davis Ingle said statement
"Trump spoke to some FBI agents who raided Atlanta election office, NYT reports",The Justice Department did not immediately respond to a request for comment.,The Justice Department immediately respond request comment
"US to cut tariffs on India to 18%, India agrees to end Russian oil purchases","WASHINGTON/NEW DELHI, Feb 2 (Reuters) - U.S. President Donald Trump on Monday announced a trade deal with India that slashes U.S. tariffs on Indian goods to 18% from 50% in exchange for India halting Russian oil purchases and lowering trade barriers.",WASHINGTON/NEW DELHI Feb Reuters U.S. President Donald Trump Monday announced trade deal India slash U.S. tariff Indian good exchange India halting Russian oil purchase lowering trade barrier
"US to cut tariffs on India to 18%, India agrees to end Russian oil purchases","Trump announced the deal on social media following a call with Indian Prime Minister Narendra Modi, noting that India would now buy oil from the U.S. and potentially Venezuela.",Trump announced deal social medium following call Indian Prime Minister Narendra Modi noting India would buy oil U.S. potentially Venezuela
"US to cut tariffs on India to 18%, India agrees to end Russian oil purchases",Get the latest news from India and how it matters to the world with the Reuters India File newsletter.,Get latest news India matter world Reuters India File newsletter
"US to cut tariffs on India to 18%, India agrees to end Russian oil purchases","A White House official told Reuters that the U.S. was rescinding a punitive 25% duty on all imports from India over its purchases of Russian oil that had stacked on top of a 25% ""reciprocal"" tariff rate.",White House official told Reuters U.S. rescinding punitive duty import India purchase Russian oil stacked top reciprocal tariff rate
"US to cut tariffs on India to 18%, India agrees to end Russian oil purchases",U.S.-listed shares of major Indian companies rallied on the news.,U.S.-listed share major Indian company rallied news
"US to cut tariffs on India to 18%, India agrees to end Russian oil purchases","IT consulting firm Infosys closed 4.3% higher, consultancy Wipro rose 6.8%, HDFC Bank gained 4.4% and the iShares MSCI India exchange-traded fund rallied 3%.",consulting firm Infosys closed 4.3 higher consultancy Wipro rose 6.8 HDFC Bank gained 4.4 iShares MSCI India exchange-traded fund rallied
"US to cut tariffs on India to 18%, India agrees to end Russian oil purchases","Trump's announcement added to positive sentiment over semiconductor makers and artificial intelligence, lifting major indexes into positive territory on the day.",Trump announcement added positive sentiment semiconductor maker artificial intelligence lifting major index positive territory day
"US to cut tariffs on India to 18%, India agrees to end Russian oil purchases","Modi also committed India to ""BUY AMERICAN at a much higher level,"" in addition to buying more than $500 billion worth of U.S. energy, including coal, along with technology, agricultural and other products, Trump added.",Modi also committed India BUY AMERICAN much higher level addition buying 500 billion worth U.S. energy including coal along technology agricultural product Trump added
"US to cut tariffs on India to 18%, India agrees to end Russian oil purchases","""They will likewise move forward to reduce their Tariffs and Non Tariff Barriers against the United States, to ZERO,"" Trump said of India.",They likewise move forward reduce Tariffs Non Tariff Barriers United States ZERO Trump said India
"US to cut tariffs on India to 18%, India agrees to end Russian oil purchases","Until Trump returned to office and raised U.S. tariff rates to double-digit levels last year, India had some of the world's highest tariffs, with a simple applied rate of 15.6% and an effective applied tariff of 8.2%, according to World Trade Organization data.",Until Trump returned office raised U.S. tariff rate double-digit level last year India world highest tariff simple applied rate 15.6 effective applied tariff 8.2 according World Trade Organization data
"US to cut tariffs on India to 18%, India agrees to end Russian oil purchases","FEW DETAILS AVAILABLE  Trump's Truth Social message provided few details, including on the start date for the lower tariff rates, the deadline for India to end Russian oil purchases, trade barrier reductions and which U.S. products India had committed to purchasing.",FEW DETAILS AVAILABLE Trump Truth Social message provided detail including start date lower tariff rate deadline India end Russian oil purchase trade barrier reduction U.S. product India committed purchasing
"US to cut tariffs on India to 18%, India agrees to end Russian oil purchases","As of late Monday afternoon, the White House had not issued a presidential proclamation nor a Federal Register notice required to make the changes official.",late Monday afternoon White House issued presidential proclamation Federal Register notice required make change official
"US to cut tariffs on India to 18%, India agrees to end Russian oil purchases","A White House spokesperson offered no further details, while India's commerce and foreign ministries did not immediately respond to requests sent after working hours.",White House spokesperson offered detail India commerce foreign ministry immediately respond request sent working hour
"US to cut tariffs on India to 18%, India agrees to end Russian oil purchases",Russia's embassy in Washington also did not immediately respond to a request for comment.,Russia embassy Washington also immediately respond request comment
"US to cut tariffs on India to 18%, India agrees to end Russian oil purchases","Previous trade deals with other major Asian trading partners including Japan and South Korea have included commitments to invest hundreds of billions of dollars into U.S. industries, but the India announcement did not mention any specific investments.",Previous trade deal major Asian trading partner including Japan South Korea included commitment invest hundred billion dollar U.S. industry India announcement mention specific investment
"US to cut tariffs on India to 18%, India agrees to end Russian oil purchases","The deal brings India ""broadly in line with its Asian peers on tariff rates"" of 15% to 19%, said Madhavi Arora, economist at Emkay Global, adding that it would eliminate a disproportionate drag on India's exports and its rupee currency.",The deal brings India broadly line Asian peer tariff rate said Madhavi Arora economist Emkay Global adding would eliminate disproportionate drag India export rupee currency
"US to cut tariffs on India to 18%, India agrees to end Russian oil purchases",U.S. business groups reacted with caution and criticism.,U.S. business group reacted caution criticism
"US to cut tariffs on India to 18%, India agrees to end Russian oil purchases","The U.S. Chamber of Commerce, which has long advocated a market-opening trade deal with India, called Trump's announcement progress towards that goal.",The U.S. Chamber Commerce long advocated market-opening trade deal India called Trump announcement progress towards goal
"US to cut tariffs on India to 18%, India agrees to end Russian oil purchases","""We are optimistic that this is the first step toward a comprehensive trade agreement that will unlock even more private sector collaboration, and we look forward to reviewing the details of the deal,"" Chamber CEO Suzanne Clark said in a statement.",optimistic first step toward comprehensive trade agreement unlock even private sector collaboration look forward reviewing detail deal Chamber CEO Suzanne Clark said statement
"US to cut tariffs on India to 18%, India agrees to end Russian oil purchases","A coalition of more than 800 small businesses called ""We Pay the Tariffs"" urged Americans not to celebrate the deal, which it called a ""600% tax increase on American businesses compared to 2024.""",coalition 800 small business called Pay Tariffs urged Americans celebrate deal called 600 tax increase American business compared 2024
"US to cut tariffs on India to 18%, India agrees to end Russian oil purchases",The group noted that U.S. tariffs on Indian imports were about 2% to 3% at that time but would now be 18% and could go higher if India does not fully wean itself off Russian oil.,The group noted U.S. tariff Indian import time would could higher India fully wean Russian oil
"US to cut tariffs on India to 18%, India agrees to end Russian oil purchases","'BIG THANKS' FROM MODI  ""Wonderful to speak with my dear friend President Trump today.",'BIG THANKS FROM MODI Wonderful speak dear friend President Trump today
"US to cut tariffs on India to 18%, India agrees to end Russian oil purchases","Delighted that Made in India products will now have a reduced tariff of 18%,"" Modi said in a social media post on X.",Delighted Made India product reduced tariff Modi said social medium post
"US to cut tariffs on India to 18%, India agrees to end Russian oil purchases","""Big thanks to President Trump on behalf of the 1.4 billion people of India for this wonderful announcement.""",Big thanks President Trump behalf 1.4 billion people India wonderful announcement
"US to cut tariffs on India to 18%, India agrees to end Russian oil purchases",India's Trade Minister Piyush Goyal said the deal would draw the U.S. and Indian economies closer together.,India Trade Minister Piyush Goyal said deal would draw U.S. Indian economy closer together
"US to cut tariffs on India to 18%, India agrees to end Russian oil purchases","""This agreement unlocks unprecedented opportunities for farmers, MSMEs, entrepreneurs, and skilled workers to Make in India for the world, Design in India for the world, and Innovate in India for the world.",This agreement unlocks unprecedented opportunity farmer MSMEs entrepreneur skilled worker Make India world Design India world Innovate India world
"US to cut tariffs on India to 18%, India agrees to end Russian oil purchases","It will help India get technology from the U.S.,"" Goyal said in a post on X.",help India get technology U.S. Goyal said post
"US to cut tariffs on India to 18%, India agrees to end Russian oil purchases",The deal comes less than a week after India signed a long-awaited trade deal with the European Union that is expected to eliminate or reduce tariffs on 96.6% of traded goods by value.,The deal come less week India signed long-awaited trade deal European Union expected eliminate reduce tariff 96.6 traded good value
"US to cut tariffs on India to 18%, India agrees to end Russian oil purchases","That deal excludes EU soybeans, beef, sugar, rice and dairy from tariff reductions.",That deal excludes soybean beef sugar rice dairy tariff reduction
"US to cut tariffs on India to 18%, India agrees to end Russian oil purchases","The Trump administration has been racing to complete framework trade deals with major trading partners before the U.S. Supreme Court rules on whether to strike down Trump's ""reciprocal"" tariffs under the International Emergency Economic Powers Act.",The Trump administration racing complete framework trade deal major trading partner U.S. Supreme Court rule whether strike Trump reciprocal tariff International Emergency Economic Powers Act
"US to cut tariffs on India to 18%, India agrees to end Russian oil purchases","Trump administration officials reached a deal with Taiwan last month and say such agreements are expected to continue no matter what the court rules, as they will reimpose tariffs under other authorities.",Trump administration official reached deal Taiwan last month say agreement expected continue matter court rule reimpose tariff authority
"US to cut tariffs on India to 18%, India agrees to end Russian oil purchases","WESTERN HEMISPHERE OIL  On Saturday, Trump teased a potential deal for India to buy Venezuelan oil after the U.S. seized Venezuelan President Nicolas Maduro in a military raid in early January.",WESTERN HEMISPHERE OIL Saturday Trump teased potential deal India buy Venezuelan oil U.S. seized Venezuelan President Nicolas Maduro military raid early January
"US to cut tariffs on India to 18%, India agrees to end Russian oil purchases",The deal followed months of tense trade negotiations between the world's two largest democracies.,The deal followed month tense trade negotiation world two largest democracy
"US to cut tariffs on India to 18%, India agrees to end Russian oil purchases","Last August, Trump doubled duties on imports from India to 50% to pressure New Delhi to stop buying Russian oil, and earlier this month said the rate could rise again if it did not curb its purchases.",Last August Trump doubled duty import India pressure New Delhi stop buying Russian oil earlier month said rate could rise curb purchase
"US to cut tariffs on India to 18%, India agrees to end Russian oil purchases","Purchases of Venezuelan oil would help replace some of the Russian oil bought by India, the world's third-biggest oil importer.",Purchases Venezuelan oil would help replace Russian oil bought India world third-biggest oil importer
"US to cut tariffs on India to 18%, India agrees to end Russian oil purchases","India relies heavily on oil imports, covering around 90% of its needs, and importing cheaper Russian oil has helped lower its import costs since Moscow invaded Ukraine in 2022 and Western nations enacted sanctions on its energy exports.",India relies heavily oil import covering around need importing cheaper Russian oil helped lower import cost since Moscow invaded Ukraine 2022 Western nation enacted sanction energy export
"US to cut tariffs on India to 18%, India agrees to end Russian oil purchases",Recently India has begun to slow its purchases from Russia.,Recently India begun slow purchase Russia
"US to cut tariffs on India to 18%, India agrees to end Russian oil purchases","In January, they were around 1.2 million barrels per day, and are projected to decline to about 1 million bpd in February and 800,000 bpd in March, according to a Reuters report.","January around 1.2 million barrel per day projected decline million bpd February 800,000 bpd March according Reuters report"
"US dropping 25% separate tariff on Indian imports after pledge to cut Russian oil, White House says","WASHINGTON, Feb 2 (Reuters) - The Trump administration is dropping a 25% additional tariffs imposed on Indian imports over its purchases of Russian oil, in addition to lowering a country-specific tariff to 18% from 25%, a White House official said on Monday.",WASHINGTON Feb Reuters The Trump administration dropping additional tariff imposed Indian import purchase Russian oil addition lowering country-specific tariff White House official said Monday
"US dropping 25% separate tariff on Indian imports after pledge to cut Russian oil, White House says","""We are also dropping the 25% tariff given India's agreement to stop buying Russian oil,"" the official said.",also dropping tariff given India agreement stop buying Russian oil official said
"US dropping 25% separate tariff on Indian imports after pledge to cut Russian oil, White House says","U.S. President Donald Trump announced the changes in a Truth Social post following a call with Indian Prime Minister Narendra Modi, but did not explicitly address the 25% tariff he imposed in August to pressure New Delhi to stop buying Russian oil.",U.S. President Donald Trump announced change Truth Social post following call Indian Prime Minister Narendra Modi explicitly address tariff imposed August pressure New Delhi stop buying Russian oil
"Small drone fell on Polish army base, military police say","WARSAW, Feb 2 (Reuters) - A small toy-like drone of unknown origin fell onto a military base in Przasnysz, north-central Poland on January 28, military police said on Monday, confirming a report from Radio Zet.",WARSAW Feb Reuters small toy-like drone unknown origin fell onto military base Przasnysz north-central Poland January military police said Monday confirming report Radio Zet
"Small drone fell on Polish army base, military police say",Authorities across Europe have been on high alert for drones after a spate of incidents that have disrupted operations at airports or military facilities.,Authorities across Europe high alert drone spate incident disrupted operation airport military facility
"Small drone fell on Polish army base, military police say",Military police spokesperson Tomasz Wiktorowicz said security officers had observed the drone flying over the base and that it then fell onto the premises.,Military police spokesperson Tomasz Wiktorowicz said security officer observed drone flying base fell onto premise
"Small drone fell on Polish army base, military police say","It was later handed over to the military police, and an investigation is currently underway,"" he said.",later handed military police investigation currently underway said
"Small drone fell on Polish army base, military police say",He added that it was an unsophisticated device that was possibly controlled using a mobile phone and had lost contact with its operator.,added unsophisticated device possibly controlled using mobile phone lost contact operator
"Small drone fell on Polish army base, military police say","""No recording devices, such as a memory card or SIM card, that could transmit data were found in the device,"" he said.",recording device memory card SIM card could transmit data found device said
Trump says Republicans should 'nationalize' voting in at least 15 places,"Summary  Trump reiterates false claims of widespread election fraud  Trump suggests Republicans take control of voting  Trump's claims of election fraud rejected by courts  WASHINGTON, Feb 2 (Reuters) - President Donald Trump said on Monday that Republicans should ""nationalize"" and ""take over"" voting in at least 15 unspecified places, reiterating his false claims that U.S. elections are marred by widespread fraud.",President Donald Trump said Monday Republicans nationalize take voting least unspecified place reiterating false claim U.S. election marred widespread fraud
Trump says Republicans should 'nationalize' voting in at least 15 places,"In a podcast interview with his former FBI Deputy Director Dan Bongino, Trump -- who continues to claim falsely that his 2020 election defeat was the result of fraud -- gave no details on what he intended.",podcast interview former FBI Deputy Director Dan Bongino Trump continues claim falsely 2020 election defeat result fraud gave detail intended
Trump says Republicans should 'nationalize' voting in at least 15 places,"Referring to immigrants, the president said on ""The Dan Bongino Show"": ""These people were brought to our country to vote, and they vote illegally.",Referring immigrant president said The Dan Bongino Show These people brought country vote vote illegally
Trump says Republicans should 'nationalize' voting in at least 15 places,"And you know, amazing that the Republicans aren't tougher on it.""",And know amazing Republicans n't tougher
Trump says Republicans should 'nationalize' voting in at least 15 places,"We should take over the voting, the voting in at least many, 15 places.",take voting voting least many place
Trump says Republicans should 'nationalize' voting in at least 15 places,"The Republicans ought to nationalize the voting,"" Trump said in the interview.",The Republicans ought nationalize voting Trump said interview
Trump says Republicans should 'nationalize' voting in at least 15 places,"He did not specify the locations but said: ""We have states that are so crooked and they're counting votes.",specify location said state crooked 're counting vote
Trump says Republicans should 'nationalize' voting in at least 15 places,The White House did not immediately respond to a request for clarification of Trump's remarks.,The White House immediately respond request clarification Trump remark
Trump says Republicans should 'nationalize' voting in at least 15 places,"U.S. Representative Don Bacon, a Republican, said on X, ""I opposed nationalizing elections when Speaker Pelosi wanted major changes to elections in all 50 states.",U.S. Representative Don Bacon Republican said opposed nationalizing election Speaker Pelosi wanted major change election state
Trump says Republicans should 'nationalize' voting in at least 15 places,"Separately, Michigan Department of State spokesperson Cheri Hardmon said in a statement: ""The U.S. Constitution puts states in charge of elections, not the federal government.",Separately Michigan Department State spokesperson Cheri Hardmon said statement The U.S. Constitution put state charge election federal government
Trump says Republicans should 'nationalize' voting in at least 15 places,Bongino returned to his podcast after leaving the Federal Bureau of Investigation last month.,Bongino returned podcast leaving Federal Bureau Investigation last month
Trump says Republicans should 'nationalize' voting in at least 15 places,"FBI SEARCH  Trump's comments came days after the FBI searched an election office in Georgia's Fulton County for 2020 records as the president continues to press false claims of fraud in his 2020 defeat, an accusation that has been rejected by courts, state governments and members of Trump's own former administration.",FBI SEARCH Trump comment came day FBI searched election office Georgia Fulton County 2020 record president continues press false claim fraud 2020 defeat accusation rejected court state government member Trump former administration
Trump says Republicans should 'nationalize' voting in at least 15 places,"Trump, in a departure from law enforcement norms, spoke with some of the FBI agents by cellphone the day after the raid during a meeting they had with Director of National Intelligence Tulsi Gabbard, the New York Times reported on Monday.",Trump departure law enforcement norm spoke FBI agent cellphone day raid meeting Director National Intelligence Tulsi Gabbard New York Times reported Monday
Trump says Republicans should 'nationalize' voting in at least 15 places,The U.S. will hold midterm elections in November that will determine control of Congress for the next two years.,The U.S. hold midterm election November determine control Congress next two year
Trump says Republicans should 'nationalize' voting in at least 15 places,"Under the U.S. Constitution, states and local jurisdictions conduct elections.",Under U.S. Constitution state local jurisdiction conduct election
Trump says Republicans should 'nationalize' voting in at least 15 places,"Previously he spent three years with Reuters' Sub-Saharan Africa breaking news hub in Johannesburg, and covered former Paralympic star Oscar Pistorius's release, and the historic 2024 South African election.",Previously spent three year Reuters Sub-Saharan Africa breaking news hub Johannesburg covered former Paralympic star Oscar Pistorius release historic 2024 South African election
Trump says Republicans should 'nationalize' voting in at least 15 places,He was part of a team of reporters that Reuters named Journalists of the Year in 2023 in the Speed category for coverage of Africa.,part team reporter Reuters named Journalists Year 2023 Speed category coverage Africa
Trump says Republicans should 'nationalize' voting in at least 15 places,He has also spent three years in India with the news agency's Global News Monitoring team.,also spent three year India news agency Global News Monitoring team
Trump says Republicans should 'nationalize' voting in at least 15 places,"When he is not working, Bhargav likes to read and travel.",When working Bhargav like read travel
Gold’s bull run seen intact despite steep pullback,"Summary  Companies  Volatility may persist, with mixed expectations for silver  Federal Reserve rate cuts expected to support gold prices  UBS and JP Morgan forecast gold prices above $6,200/oz this year  Feb 2 (Reuters) - Despite a historic pullback in gold and silver prices, triggered by the sharpest two-session sell-off in decades, analysts see the metal's bull run continuing and expect it to notch fresh record highs later this year.",Despite historic pullback gold silver price triggered sharpest two-session sell-off decade analyst see metal bull run continuing expect notch fresh record high later year
Gold’s bull run seen intact despite steep pullback,"Spot gold prices plunged nearly 10% on January 30, its steepest fall since 1983, breaking below the historic $5,000 per ounce milestone scaled just days previously and wiping out much of the gains for the year.","Spot gold price plunged nearly January steepest fall since 1983 breaking historic 5,000 per ounce milestone scaled day previously wiping much gain year"
Gold’s bull run seen intact despite steep pullback,"Silver fell 27% in the same session, its biggest downfall on record.",Silver fell session biggest downfall record
Gold’s bull run seen intact despite steep pullback,Gold fell more than 13% and silver nearly 34% over the last two trading sessions.,Gold fell silver nearly last two trading session
Gold’s bull run seen intact despite steep pullback,"""Although the fall was large and fast, it should also be remembered that we are currently at the same levels we saw just three weeks ago,"" said Ross Norman, an independent analyst.",Although fall large fast also remembered currently level saw three week ago said Ross Norman independent analyst
Gold’s bull run seen intact despite steep pullback,"""This is a significant correction but it does not, by any stretch of the imagination, signify the bull run has ended.""",This significant correction stretch imagination signify bull run ended
Gold’s bull run seen intact despite steep pullback,"AN OVEREXTENDED RALLY  Gold’s retreat follows what analysts say was an overextended rally, taking the metal from a record peak of $5,594.82 to around $4,700 - nearly $900 lower.","OVEREXTENDED RALLY Gold retreat follows analyst say overextended rally taking metal record peak 5,594.82 around 4,700 nearly 900 lower"
Gold’s bull run seen intact despite steep pullback,"It was sparked by U.S. President Donald Trump's nomination of Kevin Warsh as the next Federal Reserve chair, followed by CME Group's decision to raise margin requirements on precious metals futures.",sparked U.S. President Donald Trump nomination Kevin Warsh next Federal Reserve chair followed CME Group decision raise margin requirement precious metal future
Gold’s bull run seen intact despite steep pullback,"The pullback could discourage speculative buying, analysts at WisdomTree noted, potentially creating space for long-term strategic buyers to re-allocate.",The pullback could discourage speculative buying analyst WisdomTree noted potentially creating space long-term strategic buyer re-allocate
Gold’s bull run seen intact despite steep pullback,"Gold prices could see a period of consolidation before moving higher over the next few weeks and months, said Tai Wong, an independent metals trader.",Gold price could see period consolidation moving higher next week month said Tai Wong independent metal trader
Gold’s bull run seen intact despite steep pullback,"Markets also expect the Federal Reserve to trim interest rates two times this year, which will support non-yielding gold.",Markets also expect Federal Reserve trim interest rate two time year support non-yielding gold
Gold’s bull run seen intact despite steep pullback,"""We look for gold to reach a new record high above $6,200/oz later this year,"" said UBS analyst Giovanni Staunovo.","look gold reach new record high 6,200/oz later year said UBS analyst Giovanni Staunovo"
Gold’s bull run seen intact despite steep pullback,"JP Morgan expects gold to reach $6,300/oz by year-end, the bank said on Monday, while Deutsche Bank reiterated its gold price forecast of $6,000 this year citing sustained investor demand.","Morgan expects gold reach 6,300/oz year-end bank said Monday Deutsche Bank reiterated gold price forecast 6,000 year citing sustained investor demand"
Gold’s bull run seen intact despite steep pullback,"However, some analysts caution that volatility may persist in the near term, warning that the sell-off may not be over yet.",However analyst caution volatility may persist near term warning sell-off may yet
Gold’s bull run seen intact despite steep pullback,"""It is far too early to suggest gold has found a bottom yet,"" said Fawad Razaqzada, market analyst at City Index and FOREX.com.",far early suggest gold found bottom yet said Fawad Razaqzada market analyst City Index FOREX.com
Gold’s bull run seen intact despite steep pullback,"Expectations for silver remain mixed, reflecting its dual status as both a precious and industrial metal.",Expectations silver remain mixed reflecting dual status precious industrial metal
UK police review reports of alleged misconduct by Mandelson after Epstein files release,"LONDON, Feb 2 (Reuters) - UK police said they are reviewing reports of alleged misconduct to determine if they meet the threshold for a criminal investigation, following calls to probe former UK ambassador to the U.S. Peter Mandelson over his links to Jeffrey Epstein.",LONDON Feb Reuters police said reviewing report alleged misconduct determine meet threshold criminal investigation following call probe former ambassador U.S. Peter Mandelson link Jeffrey Epstein
UK police review reports of alleged misconduct by Mandelson after Epstein files release,"""Following this release (of Epstein files) and subsequent media reporting, the Met has received a number of reports relating to alleged misconduct in a public office,"" Ella Marriott, commander of the Met police, said in a statement on Monday.",Following release Epstein file subsequent medium reporting Met received number report relating alleged misconduct public office Ella Marriott commander Met police said statement Monday
UK police review reports of alleged misconduct by Mandelson after Epstein files release,"""The reports will all be reviewed to determine if they meet the criminal threshold for investigation.""",The report reviewed determine meet criminal threshold investigation
Trump says talks with Iran ongoing,Feb 2 (Reuters) - U.S. President Donald Trump said Monday that talks with Iran were ongoing amid high tensions.,Feb Reuters U.S. President Donald Trump said Monday talk Iran ongoing amid high tension
Trump says talks with Iran ongoing,"""We have ships heading to Iran right now, big ones ... and we have talks going on with Iran,"" Trump told reporters at the White House.",ship heading Iran right big one ... talk going Iran Trump told reporter White House
Trading Day: Solid data over hard assets,news.google.com normally uses encryption to protect your information.,news.google.com normally us encryption protect information
Trading Day: Solid data over hard assets,"When Chrome tried to connect to news.google.com this time, the website sent back unusual and incorrect credentials.",When Chrome tried connect news.google.com time website sent back unusual incorrect credential
Trading Day: Solid data over hard assets,"This may happen when an attacker is trying to pretend to be news.google.com, or a Wi-Fi sign-in screen has interrupted the connection.",This may happen attacker trying pretend news.google.com Wi-Fi sign-in screen interrupted connection
Trading Day: Solid data over hard assets,Your information is still secure because Chrome stopped the connection before any data was exchanged.,Your information still secure Chrome stopped connection data exchanged
Trading Day: Solid data over hard assets,You cannot visit news.google.com right now because the website uses HSTS.,You visit news.google.com right website us HSTS
