tokens,labels,labels_encoded
"['The', 'companies', 'will', 'also', 'pursue', 'gains', 'by', 'combining', 'and', 'developing', 'their', 'AI', 'capabilities', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NORP', 'O', 'O']","[28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 7, 28, 28]"
"['``', 'Scale', 'of', 'this', 'magnitude', 'unlocks', 'operational', 'and', 'financial', 'advantages', 'that', 'simply', 'are', ""n't"", 'available', 'to', 'operators', 'of', 'less', 'scale', ',', ""''"", 'Devon', 'CEO', 'Clay', 'Gaspar', 'said', 'on', 'a', 'conference', 'call', 'with', 'analysts', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 9, 28, 10, 23, 28, 28, 28, 28, 28, 28, 28, 28]"
"['``', 'It', 'gives', 'the', 'ability', 'to', 'expand', 'margins', 'through', 'operational', 'efficiency', 'across', 'our', 'overlapping', 'asset', 'base', '.', ""''""]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28]"
"['Investors', 'have', 'often', 'doubted', 'such', 'combinations', 'that', 'merely', 'pursue', 'scale', ',', 'but', 'the', 'Devon-Coterra', 'tie-up', 'has', 'a', 'strategic', 'rationale', ',', 'said', 'Andrew', 'Dittmar', ',', 'principal', 'analyst', 'at', 'Enverus', 'Intelligence', 'Research', ',', 'pointing', 'to', 'the', 'potential', 'for', '$', '700', 'million', 'in', 'capital', 'optimization', 'and', 'margin', 'improvements', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MONEY', 'I-MONEY', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O']","[28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 9, 28, 28, 10, 28, 28, 28, 28, 10, 23, 28, 28, 28, 28, 9, 22, 22, 28, 28, 28, 28, 28, 28, 28, 6, 20, 28, 28, 28, 10, 28, 28, 28]"
"['``', 'The', 'combination', 'of', 'Devon', 'and', 'Coterra', 'demonstrates', 'that', 'the', 'wave', 'of', 'consolidation', 'sweeping', 'U.S.', 'shale', 'is', ""n't"", 'finished', 'yet', '...', 'with', 'fewer', 'obvious', 'targets', 'left', ',', 'corporate', 'dealmaking', 'from', 'here', 'is', 'likely', 'a', 'slow', ',', 'methodical', 'grind', 'of', 'finding', 'the', 'right', 'partner', 'at', 'the', 'right', 'point', 'in', 'time', '.', ""''""]","['O', 'O', 'O', 'O', 'B-ORG', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[28, 28, 28, 28, 9, 28, 9, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28]"
"['OPERATIONS', 'IN', 'MAJOR', 'BASINS', 'Devon', 'and', 'Coterra', 'operate', 'in', 'several', 'major', 'U.S.', 'shale', 'formations', ',', 'with', 'overlapping', 'positions', 'in', 'the', 'Delaware', 'portion', 'of', 'the', 'Permian', 'Basin', 'in', 'Texas', 'and', 'New', 'Mexico', ',', 'as', 'well', 'as', 'in', 'Oklahoma', ""'s"", 'Anadarko', 'Basin', '.']","['B-ORG', 'O', 'B-NORP', 'O', 'B-ORG', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'B-NORP', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'B-LOC', 'O', 'B-ORG', 'O', 'B-LOC', 'I-LOC', 'O', 'B-GPE', 'O', 'B-GPE', 'I-GPE', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'B-LOC', 'I-LOC', 'O']","[9, 28, 7, 28, 9, 28, 9, 22, 28, 28, 7, 28, 28, 28, 28, 28, 9, 28, 28, 28, 5, 28, 9, 28, 5, 19, 28, 3, 28, 3, 18, 28, 28, 28, 28, 28, 3, 28, 5, 19, 28]"
"['Production', 'in', '2026', 'is', 'expected', 'to', 'exceed', '1.6', 'million', 'barrels', 'of', 'oil', 'equivalent', 'per', 'day', '.']","['O', 'O', 'B-DATE', 'O', 'O', 'O', 'O', 'B-QUANTITY', 'I-QUANTITY', 'I-QUANTITY', 'O', 'O', 'O', 'O', 'O', 'O']","[28, 28, 1, 28, 28, 28, 28, 12, 25, 25, 28, 28, 28, 28, 28, 28]"
"['Over', 'half', 'of', 'production', 'and', 'cash', 'flow', 'would', 'come', 'from', 'the', 'Delaware', 'Basin', ',', 'where', 'the', 'combined', 'company', 'will', 'hold', 'roughly', '750,000', 'net', 'acres', 'in', 'the', 'core', 'of', 'the', 'play', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 5, 19, 28, 28, 28, 28, 28, 28, 28, 28, 0, 28, 28, 28, 28, 28, 28, 28, 28, 28]"
"['Devon', 'said', 'the', 'combined', 'portfolio', 'would', 'provide', 'more', 'than', '10', 'years', 'of', 'high-quality', 'inventory', ',', 'including', 'the', 'largest', 'share', 'of', 'sub-', '$', '40', 'break-even', 'wells', '.']","['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'O', 'O']","[9, 28, 28, 28, 28, 28, 28, 28, 28, 0, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 0, 28, 28, 28]"
"['The', 'merger', 'is', 'expected', 'to', 'close', 'in', 'the', 'second', 'quarter', 'of', '2026', ',', 'after', 'which', 'the', 'combined', 'company', 'will', 'retain', 'the', 'name', 'Devon', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORDINAL', 'O', 'O', 'B-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O']","[28, 28, 28, 28, 28, 28, 28, 28, 8, 28, 28, 1, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 9, 28]"
"['While', 'the', 'company', 'will', 'maintain', 'a', 'major', 'presence', 'in', 'Oklahoma', 'City', ',', 'the', 'headquarters', 'will', 'be', 'located', 'in', 'Houston', 'with', 'executive', 'staff', 'relocating', 'there', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'I-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'O', 'O', 'O', 'O', 'O']","[28, 28, 28, 28, 28, 28, 28, 28, 28, 3, 18, 28, 28, 28, 28, 28, 28, 28, 3, 28, 28, 28, 28, 28, 28]"
"['Summary', 'Epstein', 'documents', 'reveal', 'emails', 'with', 'Mette-Marit', 'post-conviction', 'Mette-Marit', 'apologises', 'for', 'poor', 'judgement', 'in', 'Epstein', 'ties', 'Royal', 'family', 'faces', 'multiple', 'challenges', 'amid', 'high', 'public', 'support', 'OSLO', ',', 'Feb', '2', '(', 'Reuters', ')', '-', 'Norwegian', 'Prime', 'Minister', 'Jonas', 'Gahr', 'Stoere', 'said', 'on', 'Monday', 'the', 'Nordic', 'country', ""'s"", 'crown', 'princess', ',', 'Mette-Marit', ',', 'displayed', 'poor', 'judgement', 'in', 'having', 'contacts', 'with', 'Jeffrey', 'Epstein', ',', 'following', 'fresh', 'reports', 'of', 'her', 'ties', 'with', 'the', 'late', 'U.S.', 'sex', 'offender', '.']","['O', 'B-PERSON', 'O', 'O', 'B-PERSON', 'O', 'B-PERSON', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'B-DATE', 'I-DATE', 'O', 'B-ORG', 'O', 'O', 'B-NORP', 'O', 'O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'B-DATE', 'O', 'B-NORP', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[28, 10, 28, 28, 10, 28, 10, 28, 10, 28, 28, 28, 28, 28, 10, 28, 9, 28, 28, 28, 28, 28, 28, 28, 28, 3, 28, 1, 16, 28, 9, 28, 28, 7, 28, 28, 10, 23, 23, 28, 28, 1, 28, 7, 28, 28, 28, 28, 28, 10, 28, 28, 28, 28, 28, 28, 28, 28, 10, 23, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28]"
"['New', 'files', 'related', 'to', 'Epstein', 'published', 'by', 'the', 'U.S.', 'Justice', 'Department', 'on', 'Friday', 'included', 'extensive', 'email', 'correspondence', 'between', 'Mette-Marit', 'and', 'Epstein', 'after', 'he', 'was', 'found', 'guilty', 'of', 'child', 'sex', 'crimes', 'in', '2008', '.']","['O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'B-PERSON', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'O']","[28, 28, 28, 28, 10, 28, 28, 28, 28, 28, 28, 28, 1, 28, 10, 23, 28, 28, 10, 28, 10, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 1, 28]"
"['On', 'Saturday', ',', 'Mette-Marit', ',', 'the', 'spouse', 'of', 'the', 'heir', 'to', 'the', 'throne', 'Haakon', ',', 'apologised', 'for', 'maintaining', 'contacts', ',', 'saying', 'she', 'showed', 'poor', 'judgement', '.']","['O', 'B-DATE', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[28, 1, 28, 10, 28, 28, 28, 28, 28, 28, 28, 28, 28, 10, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28]"
"['I', 'agree', 'and', 'I', 'think', 'it', 'is', 'worth', 'saying', 'that', 'when', 'I', 'am', 'asked', 'my', 'opinion', 'about', 'this', ',', ""''"", 'Stoere', 'told', 'reporters', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O']","[28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 10, 28, 28, 28]"
"['Asked', 'whether', 'he', 'had', 'been', 'in', 'contact', 'with', 'the', 'royal', 'palace', 'about', 'the', 'matter', ',', 'Stoere', 'said', 'he', 'had', 'not', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O']","[28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 10, 28, 28, 28, 28, 28]"
"['The', 'prime', 'minister', 'added', 'that', 'Mette-Marit', ',', 'and', 'other', 'prominent', 'Norwegians', 'who', 'were', 'named', 'in', 'the', 'latest', 'Epstein', 'documents', 'published', ',', 'should', 'provide', 'more', 'details', 'about', 'their', 'involvement', 'with', 'Epstein', '.']","['O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'B-NORP', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O']","[28, 28, 28, 28, 28, 10, 28, 28, 28, 28, 7, 28, 28, 28, 28, 28, 28, 10, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 10, 28]"
"['``', 'We', 'have', 'seen', 'that', 'the', 'information', 'that', 'has', 'emerged', 'has', 'shed', 'more', 'light', 'on', 'the', 'matter', 'than', 'what', 'has', 'been', 'said', 'before', ',', ""''"", 'Stoere', 'said', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O']","[28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 10, 28, 28]"
"['``', 'It', 'may', 'perhaps', 'be', 'reasonable', 'to', 'say', 'that', 'they', 'should', 'explain', 'the', 'extent', 'of', 'the', 'contacts', 'that', 'have', 'taken', 'place', '.', ""''""]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28]"
"[""'"", 'I', 'DEEPLY', 'REGRET', 'THIS', ""'"", 'The', 'publication', 'of', 'the', 'new', 'Epstein', 'documents', 'comes', 'at', 'a', 'time', 'of', 'multiple', 'challenges', 'for', 'the', 'royal', 'family', ',', 'with', 'Mette-Marit', ""'s"", 'son', ',', 'Marius', ',', 'from', 'a', 'relationship', 'prior', 'to', 'her', 'marriage', 'to', 'Crown', 'Prince', 'Haakon', ',', 'facing', 'trial', 'on', 'rape', 'and', 'domestic', 'violence', 'charges', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 10, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 10, 28, 28, 28, 10, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 10, 23, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28]"
"['``', 'I', 'must', 'take', 'responsibility', 'for', 'not', 'having', 'investigated', 'Epstein', ""'s"", 'background', 'more', 'thoroughly', ',', 'and', 'for', 'not', 'realising', 'sooner', 'what', 'kind', 'of', 'person', 'he', 'was', ',', ""''"", 'Mette-Marit', 'said', 'in', 'a', 'statement', 'to', 'Reuters', 'via', 'the', 'royal', 'palace', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O']","[28, 28, 28, 28, 28, 28, 28, 28, 28, 10, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 10, 28, 28, 28, 28, 28, 9, 28, 28, 28, 28, 28]"
"['I', 'showed', 'poor', 'judgement', 'and', 'regret', 'having', 'had', 'any', 'contact', 'with', 'Epstein', 'at', 'all', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O']","[28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 10, 28, 28, 28]"
"['The', 'generally', 'low-key', 'monarchy', 'is', 'popular', 'among', 'Norway', ""'s"", '5.6', 'million', 'inhabitants', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'B-CARDINAL', 'O', 'O', 'O']","[28, 28, 28, 28, 28, 28, 28, 3, 28, 0, 28, 28, 28]"
"['Some', '70', '%', 'of', 'Norwegians', 'support', 'the', 'monarchy', 'as', 'an', 'institution', ',', 'according', 'to', 'a', 'Norstat', 'poll', 'for', 'public', 'broadcaster', 'NRK', 'published', 'on', 'Friday', 'and', 'conducted', 'among', '1,030', 'people', 'in', 'January', '.']","['O', 'B-CARDINAL', 'O', 'O', 'B-NORP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'B-DATE', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'O', 'B-DATE', 'O']","[28, 0, 28, 28, 7, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 9, 28, 28, 28, 28, 9, 28, 28, 1, 28, 28, 28, 0, 28, 28, 1, 28]"
"['The', 'poll', 'was', 'published', 'before', 'the', 'publication', 'of', 'the', 'latest', 'Epstein', 'documents', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O']","[28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 10, 28, 28]"
"['FACING', 'MULTIPLE', 'PROBLEMS', 'The', 'Nordic', 'country', 'is', 'a', 'constitutional', 'monarchy', 'in', 'which', 'the', 'king', 'is', 'the', 'formal', 'head', 'of', 'state', 'while', 'political', 'power', 'rests', 'with', 'parliament', 'and', 'the', 'government', '.']","['O', 'B-LOC', 'O', 'O', 'B-NORP', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[28, 5, 28, 28, 7, 28, 28, 28, 28, 5, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28]"
"['Its', 'royal', 'family', 'has', 'faced', 'several', 'problems', 'in', 'recent', 'years', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28]"
"['King', 'Harald', ',', '88', ',', 'Europe', ""'s"", 'oldest', 'living', 'monarch', ',', 'cut', 'back', 'activity', 'in', '2024', 'after', 'being', 'hospitalised', 'to', 'treat', 'an', 'infection', 'and', 'later', 'receiving', 'a', 'pacemaker', '.']","['O', 'B-PERSON', 'O', 'B-CARDINAL', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[28, 10, 28, 0, 28, 5, 28, 28, 28, 28, 28, 28, 28, 28, 28, 1, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28]"
"['Mette-Marit', 'herself', 'is', 'in', 'need', 'of', 'a', 'lung', 'transplant', 'after', 'being', 'diagnosed', 'with', 'pulmonary', 'fibrosis', 'in', '2018', ',', 'a', 'chronic', 'disease', 'that', 'causes', 'scarring', 'in', 'the', 'lungs', 'and', 'leads', 'to', 'a', 'reduced', 'oxygen', 'uptake', '.']","['B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[10, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 1, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28]"
"['Meanwhile', ',', 'King', 'Harald', ""'s"", 'daughter', ',', 'Martha', 'Louise', ',', 'stepped', 'down', 'from', 'official', 'royal', 'duties', 'in', '2022', 'to', 'allow', 'her', 'to', 'more', 'freely', 'pursue', 'her', 'own', 'business', 'ventures', ',', 'and', 'said', 'both', 'she', 'and', 'her', 'husband', ',', 'an', 'American', 'self-styled', 'shaman', ',', 'would', 'refrain', 'from', 'using', 'her', 'title', 'as', 'princess', 'in', 'a', 'commercial', 'setting', '.']","['O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NORP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NORP', 'O', 'O', 'O']","[28, 28, 28, 10, 28, 28, 28, 10, 28, 28, 28, 28, 28, 28, 28, 28, 28, 1, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 7, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 7, 28, 28, 28]"
"['They', 'both', 'received', 'criticism', 'last', 'year', 'for', 'starring', 'in', 'a', 'Netflix', 'documentary', 'chronicling', 'their', 'daily', 'lives', ',', 'including', 'their', 'wedding', ',', 'and', 'for', 'being', 'critical', 'of', 'the', 'king', 'and', 'queen', '.']","['O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[28, 28, 28, 28, 1, 16, 28, 28, 28, 28, 9, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28]"
"['Born', 'in', 'France', 'and', 'with', 'Reuters', 'since', '2010', ',', 'she', 'has', 'worked', 'for', 'The', 'Guardian', ',', 'Agence', 'France-Presse', 'and', 'Al', 'Jazeera', 'English', ',', 'among', 'others', ',', 'and', 'speaks', 'four', 'languages', '.']","['O', 'O', 'B-GPE', 'O', 'O', 'B-ORG', 'O', 'B-DATE', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'B-ORG', 'B-LOC', 'O', 'B-ORG', 'O', 'B-LANGUAGE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[28, 28, 3, 28, 28, 9, 28, 1, 28, 28, 28, 28, 28, 9, 22, 28, 9, 5, 28, 9, 28, 4, 28, 28, 28, 28, 28, 28, 28, 28, 28]"
"['Feb', '2', '(', 'Reuters', ')', '-', 'J.P.', 'Morgan', 'expects', 'gold', 'prices', 'to', 'reach', '$', '6,300', 'per', 'ounce', 'by', 'the', 'end', 'of', '2026', ',', 'as', 'demand', 'from', 'central', 'banks', 'and', 'investors', 'continues', ',', 'it', 'said', 'in', 'a', 'note', 'on', 'Monday', '.']","['B-DATE', 'I-DATE', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'O']","[1, 16, 28, 9, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 0, 28, 28, 28, 28, 28, 28, 1, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 1, 28]"
"['The', 'brokerage', 'now', 'forecasts', 'central-bank', 'gold', 'purchases', 'at', '800', 'tons', 'in', '2026', ',', 'citing', 'an', 'ongoing', ',', 'unexhausted', 'trend', 'of', 'reserve', 'diversification', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'O', 'B-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[28, 28, 28, 28, 28, 28, 28, 28, 0, 28, 28, 1, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28]"
"['``', 'Even', 'with', 'the', 'recent', 'near-term', 'volatility', ',', 'we', 'remain', 'firmly', 'bullishly', 'convicted', 'in', 'gold', 'over', 'the', 'medium-term', 'on', 'the', 'back', 'of', 'a', 'clean', ',', 'structural', ',', 'continued', 'diversification', 'trend', 'that', 'has', 'further', 'to', 'run', 'amid', 'a', 'still', 'well-entrenched', 'regime', 'of', 'real', 'asset', 'outperformance', 'vs', 'paper', 'assets', ',', ""''"", 'the', 'brokerage', 'said', 'in', 'a', 'note', 'on', 'Monday', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'O']","[28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 1, 28]"
